Name,Link,Type,Teams,Timesplit,Timesplit Avail.,Tabular,Status,Notes,Deadline
tlvmc-parkinsons-freezing-gait-prediction,https://www.kaggle.com/competitions/tlvmc-parkinsons-freezing-gait-prediction,Research,1688,,,0,,Medical timeseries data. Not tabular,2023-06-08 23:59
birdclef-2023,https://www.kaggle.com/competitions/birdclef-2023,Research,1397,,,0,,sound,2023-05-24 23:59
stable-diffusion-image-to-prompts,https://www.kaggle.com/competitions/stable-diffusion-image-to-prompts,Featured,1231,,,0,,,2023-05-15 23:59
lux-ai-season-2,https://www.kaggle.com/competitions/lux-ai-season-2,Featured,646,,,0,,,2023-05-08 23:59
asl-signs,https://www.kaggle.com/competitions/asl-signs,Research,1165,,,0,,,2023-05-01 23:59
icecube-neutrinos-in-deep-ice,https://www.kaggle.com/competitions/icecube-neutrinos-in-deep-ice,Research,812,,,0,,"Scientific data. Highly specific data type, competitors mostly use graph neural networks ",2023-04-19 23:59
nfl-player-contact-detection,https://www.kaggle.com/competitions/nfl-player-contact-detection,Featured,939,,,0,,,2023-03-01 23:59
rsna-breast-cancer-detection,https://www.kaggle.com/competitions/rsna-breast-cancer-detection,Featured,1687,,,0,,,2023-02-27 23:59
santa-2022,https://www.kaggle.com/competitions/santa-2022,Featured,874,,,0,,,2023-01-17 23:59
g2net-detecting-continuous-gravitational-waves,https://www.kaggle.com/competitions/g2net-detecting-continuous-gravitational-waves,Research,936,,,0,,"Scientific signal processing data, not tabular",2023-01-03 23:59
novozymes-enzyme-stability-prediction,https://www.kaggle.com/competitions/novozymes-enzyme-stability-prediction,Featured,2482,,,0,,"Chemistry, protein sequences, not tabular",2023-01-03 23:59
feedback-prize-english-language-learning,https://www.kaggle.com/competitions/feedback-prize-english-language-learning,Featured,2654,,,0,,текст,2022-11-29 23:59
AI4Code,https://www.kaggle.com/competitions/AI4Code,Featured,1024,,,0,,,2022-11-10 23:59
rsna-2022-cervical-spine-fracture-detection,https://www.kaggle.com/competitions/rsna-2022-cervical-spine-fracture-detection,Featured,883,,,0,,,2022-10-27 23:59
google-universal-image-embedding,https://www.kaggle.com/competitions/google-universal-image-embedding,Research,1022,,,0,,,2022-10-10 23:59
mayo-clinic-strip-ai,https://www.kaggle.com/competitions/mayo-clinic-strip-ai,Research,888,,,0,,,2022-10-05 23:59
hubmap-organ-segmentation,https://www.kaggle.com/competitions/hubmap-organ-segmentation,Research,1174,,,0,,,2022-09-22 23:59
ai-village-ctf,https://www.kaggle.com/competitions/ai-village-ctf,Research,668,,,0,,,2022-09-12 00:00
feedback-prize-effectiveness,https://www.kaggle.com/competitions/feedback-prize-effectiveness,Featured,1557,,,0,,,2022-08-23 23:59
smartphone-decimeter-2022,https://www.kaggle.com/competitions/smartphone-decimeter-2022,Research,573,,,0,,A signal processing problem (many solutions don't rely on end2end ML models),2022-07-29 23:59
kore-2022,https://www.kaggle.com/competitions/kore-2022,Featured,537,,,0,,,2022-07-26 23:59
uw-madison-gi-tract-image-segmentation,https://www.kaggle.com/competitions/uw-madison-gi-tract-image-segmentation,Research,1548,,,0,,,2022-07-14 23:59
foursquare-location-matching,https://www.kaggle.com/competitions/foursquare-location-matching,Featured,1079,,,0,,data unavailable,2022-07-07 23:59
us-patent-phrase-to-phrase-matching,https://www.kaggle.com/competitions/us-patent-phrase-to-phrase-matching,Featured,1889,,,0,,,2022-06-20 23:59
image-matching-challenge-2022,https://www.kaggle.com/competitions/image-matching-challenge-2022,Research,642,,,0,,,2022-06-02 23:59
birdclef-2022,https://www.kaggle.com/competitions/birdclef-2022,Research,801,,,0,,,2022-05-24 23:59
h-and-m-personalized-fashion-recommendations,https://www.kaggle.com/competitions/h-and-m-personalized-fashion-recommendations,Featured,2952,,,0,,recommender systems,2022-05-09 23:59
nbme-score-clinical-patient-notes,https://www.kaggle.com/competitions/nbme-score-clinical-patient-notes,Featured,1471,,,0,,,2022-05-03 23:59
happy-whale-and-dolphin,https://www.kaggle.com/competitions/happy-whale-and-dolphin,Research,1588,,,0,,,2022-04-18 23:59
feedback-prize-2021,https://www.kaggle.com/competitions/feedback-prize-2021,Featured,2058,,,0,,text,2022-03-15 23:59
tensorflow-great-barrier-reef,https://www.kaggle.com/competitions/tensorflow-great-barrier-reef,Research,2025,,,0,,images/text,2022-02-14 23:59
jigsaw-toxic-severity-rating,https://www.kaggle.com/competitions/jigsaw-toxic-severity-rating,Featured,2301,,,0,,текст,2022-02-07 23:59
petfinder-pawpularity-score,https://www.kaggle.com/competitions/petfinder-pawpularity-score,Research,3537,,,0,,images (but multimodal),2022-01-14 23:59
santa-2021,https://www.kaggle.com/competitions/santa-2021,Featured,867,,,0,,,2022-01-12 23:59
sartorius-cell-instance-segmentation,https://www.kaggle.com/competitions/sartorius-cell-instance-segmentation,Featured,1505,,,0,,,2021-12-30 23:59
lux-ai-2021,https://www.kaggle.com/competitions/lux-ai-2021,Featured,1449,,,0,,rl/env,2021-12-20 23:59
chaii-hindi-and-tamil-question-answering,https://www.kaggle.com/competitions/chaii-hindi-and-tamil-question-answering,Research,943,,,0,,,2021-11-15 23:59
ventilator-pressure-prediction,https://www.kaggle.com/competitions/ventilator-pressure-prediction,Research,2605,,,0,,,2021-11-03 23:59
rsna-miccai-brain-tumor-radiogenomic-classification,https://www.kaggle.com/c/rsna-miccai-brain-tumor-radiogenomic-classification,Featured,536,,,0,,images,2021-10-15 23:59
g2net-gravitational-wave-detection,https://www.kaggle.com/c/g2net-gravitational-wave-detection,Research,560,,,0,,time series,2021-09-29 23:59
optiver-realized-volatility-prediction,https://www.kaggle.com/c/optiver-realized-volatility-prediction,Featured,1961,,,0,,time series,2021-09-27 23:59
jane-street-market-prediction,https://www.kaggle.com/c/jane-street-market-prediction,Featured,4245,,,0,,time series,2021-08-23 23:59
seti-breakthrough-listen,https://www.kaggle.com/c/seti-breakthrough-listen,Research,633,,,0,,structured data,2021-08-18 23:59
siim-covid19-detection,https://www.kaggle.com/c/siim-covid19-detection,Featured,1324,,,0,,images,2021-08-09 23:59
google-smartphone-decimeter-challenge,https://www.kaggle.com/c/google-smartphone-decimeter-challenge,Research,810,,,0,,spatial info,2021-08-04 23:59
commonlitreadabilityprize,https://www.kaggle.com/c/commonlitreadabilityprize,Featured,3633,,,0,,text,2021-08-02 23:59
coleridgeinitiative-show-us-the-data,https://www.kaggle.com/c/coleridgeinitiative-show-us-the-data,Featured,1610,,,0,,text,2021-06-22 23:59
bms-molecular-translation,https://www.kaggle.com/c/bms-molecular-translation,Featured,874,,,0,,images,2021-06-03 23:59
birdclef-2021,https://www.kaggle.com/c/birdclef-2021,Research,816,,,0,,sound,2021-06-01 23:59
plant-pathology-2021-fgvc8,https://www.kaggle.com/c/plant-pathology-2021-fgvc8,Research,626,,,0,,images,2021-05-26 23:59
indoor-location-navigation,https://www.kaggle.com/c/indoor-location-navigation,Research,1170,,,0,,spatial info,2021-05-17 23:59
hpa-single-cell-image-classification,https://www.kaggle.com/c/hpa-single-cell-image-classification,Featured,757,,,0,,images,2021-05-11 23:59
hubmap-kidney-segmentation,https://www.kaggle.com/c/hubmap-kidney-segmentation,Research,1200,,,0,,images,2021-05-10 23:59
shopee-product-matching,https://www.kaggle.com/c/shopee-product-matching,Featured,2426,,,0,,images,2021-05-10 23:59
vinbigdata-chest-xray-abnormalities-detection,https://www.kaggle.com/c/vinbigdata-chest-xray-abnormalities-detection,Featured,1275,,,0,,images,2021-03-30 23:59
ranzcr-clip-catheter-line-classification,https://www.kaggle.com/c/ranzcr-clip-catheter-line-classification,Featured,1547,,,0,,images,2021-03-16 23:59
santa-2020,https://www.kaggle.com/c/santa-2020,Featured,788,,,0,,not our task type,2021-02-22 23:59
cassava-leaf-disease-classification,https://www.kaggle.com/c/cassava-leaf-disease-classification,Research,3900,,,0,,images,2021-02-18 23:59
rfcx-species-audio-detection,https://www.kaggle.com/c/rfcx-species-audio-detection,Research,1143,,,0,,sound,2021-02-17 23:59
riiid-test-answer-prediction,https://www.kaggle.com/c/riiid-test-answer-prediction,Featured,3395,,,0,,time series,2021-01-07 23:59
google-football,https://www.kaggle.com/c/google-football,Featured,1138,,,0,,not our task type,2020-12-11 23:59
lyft-motion-prediction-autonomous-vehicles,https://www.kaggle.com/c/lyft-motion-prediction-autonomous-vehicles,Featured,935,,,0,,spatial info,2020-11-25 23:59
rsna-str-pulmonary-embolism-detection,https://www.kaggle.com/c/rsna-str-pulmonary-embolism-detection,Featured,784,,,0,,images,2020-10-26 23:59
stanford-covid-vaccine,https://www.kaggle.com/c/stanford-covid-vaccine,Research,1636,,,0,,"Biology, research. RNA sequences. Not tabular data",2020-10-06 23:59
osic-pulmonary-fibrosis-progression,https://www.kaggle.com/c/osic-pulmonary-fibrosis-progression,Featured,2097,,,0,,images,2020-10-06 23:59
landmark-recognition-2020,https://www.kaggle.com/c/landmark-recognition-2020,Research,736,,,0,,images,2020-09-29 23:59
halite,https://www.kaggle.com/c/halite,Featured,1139,,,0,,not our task type,2020-09-22 23:59
birdsong-recognition,https://www.kaggle.com/c/birdsong-recognition,Research,1390,,,0,,sound,2020-09-15 23:59
global-wheat-detection,https://www.kaggle.com/c/global-wheat-detection,Research,2245,,,0,,images,2020-08-19 01:59
landmark-retrieval-2020,https://www.kaggle.com/c/landmark-retrieval-2020,Research,541,,,0,,images,2020-08-17 23:59
siim-isic-melanoma-classification,https://www.kaggle.com/c/siim-isic-melanoma-classification,Featured,3308,,,0,,images,2020-08-17 23:59
prostate-cancer-grade-assessment,https://www.kaggle.com/c/prostate-cancer-grade-assessment,Featured,1010,,,0,,images,2020-07-22 23:59
alaska2-image-steganalysis,https://www.kaggle.com/c/alaska2-image-steganalysis,Research,1095,,,0,,images,2020-07-20 23:59
m5-forecasting-uncertainty,https://www.kaggle.com/c/m5-forecasting-uncertainty,Featured,909,,,0,,not our task type,2020-06-30 23:59
trends-assessment-prediction,https://www.kaggle.com/c/trends-assessment-prediction,Research,1047,,,0,,images,2020-06-29 23:59
jigsaw-multilingual-toxic-comment-classification,https://www.kaggle.com/c/jigsaw-multilingual-toxic-comment-classification,Featured,1621,,,0,,text,2020-06-22 23:59
tweet-sentiment-extraction,https://www.kaggle.com/c/tweet-sentiment-extraction,Featured,2225,,,0,,text,2020-06-16 23:59
abstraction-and-reasoning-challenge,https://www.kaggle.com/c/abstraction-and-reasoning-challenge,Research,913,,,0,,not our task type,2020-05-27 23:59
plant-pathology-2020-fgvc7,https://www.kaggle.com/c/plant-pathology-2020-fgvc7,Research,1317,,,0,,images,2020-05-26 23:59
liverpool-ion-switching,https://www.kaggle.com/c/liverpool-ion-switching,Research,2618,,,0,,time series,2020-05-25 23:59
deepfake-detection-challenge,https://www.kaggle.com/c/deepfake-detection-challenge,Featured,2265,,,0,,images,2020-04-23 22:17
covid19-global-forecasting-week-1,https://www.kaggle.com/c/covid19-global-forecasting-week-1,Research,545,,,0,,time series,2020-03-25 23:59
bengaliai-cv19,https://www.kaggle.com/c/bengaliai-cv19,Research,2059,,,0,,images,2020-03-16 23:59
google-quest-challenge,https://www.kaggle.com/c/google-quest-challenge,Featured,1571,,,0,,text,2020-02-10 23:59
tensorflow2-question-answering,https://www.kaggle.com/c/tensorflow2-question-answering,Featured,1233,,,0,,text,2020-01-22 23:59
data-science-bowl-2019,https://www.kaggle.com/c/data-science-bowl-2019,Featured,3493,,,0,,removed dataset,2020-01-22 23:59
pku-autonomous-driving,https://www.kaggle.com/c/pku-autonomous-driving,Featured,864,,,0,,images,2020-01-21 23:59
santa-workshop-tour-2019,https://www.kaggle.com/c/santa-workshop-tour-2019,Featured,1618,,,0,,not our task type,2020-01-15 23:59
understanding_cloud_organization,https://www.kaggle.com/c/understanding_cloud_organization,Research,1531,,,0,,images,2019-11-18 23:59
rsna-intracranial-hemorrhage-detection,https://www.kaggle.com/c/rsna-intracranial-hemorrhage-detection,Featured,1345,,,0,,images,2019-11-13 23:59
3d-object-detection-for-autonomous-vehicles,https://www.kaggle.com/c/3d-object-detection-for-autonomous-vehicles,Featured,546,,,0,,images,2019-11-12 23:59
severstal-steel-defect-detection,https://www.kaggle.com/c/severstal-steel-defect-detection,Featured,2427,,,0,,images,2019-10-24 23:59
open-images-2019-object-detection,https://www.kaggle.com/c/open-images-2019-object-detection,Research,558,,,0,,images,2019-10-01 23:59
recursion-cellular-image-classification,https://www.kaggle.com/c/recursion-cellular-image-classification,Research,865,,,0,,images,2019-09-26 23:59
aptos2019-blindness-detection,https://www.kaggle.com/c/aptos2019-blindness-detection,Featured,2928,,,0,,images,2019-09-07 23:59
siim-acr-pneumothorax-segmentation,https://www.kaggle.com/c/siim-acr-pneumothorax-segmentation,Featured,1475,,,0,,images,2019-09-04 23:59
champs-scalar-coupling,https://www.kaggle.com/c/champs-scalar-coupling,Featured,2737,,,0,,"GNN, molecules",2019-08-28 23:59
generative-dog-images,https://www.kaggle.com/c/generative-dog-images,Research,927,,,0,,images,2019-08-28 19:23
two-sigma-financial-news,https://www.kaggle.com/c/two-sigma-financial-news,Featured,2927,,,0,,removed dataset,2019-08-05 23:59
jigsaw-unintended-bias-in-toxicity-classification,https://www.kaggle.com/c/jigsaw-unintended-bias-in-toxicity-classification,Featured,3165,,,0,,text,2019-07-18 19:35
instant-gratification,https://www.kaggle.com/c/instant-gratification,Featured,1818,,,0,,not our task type,2019-06-20 23:59
freesound-audio-tagging-2019,https://www.kaggle.com/c/freesound-audio-tagging-2019,Research,880,,,0,,sound,2019-06-17 22:22
imet-2019-fgvc6,https://www.kaggle.com/c/imet-2019-fgvc6,Research,521,,,0,,images,2019-06-10 22:09
LANL-Earthquake-Prediction,https://www.kaggle.com/c/LANL-Earthquake-Prediction,Research,4516,,,0,,time series,2019-06-03 23:59
gendered-pronoun-resolution,https://www.kaggle.com/c/gendered-pronoun-resolution,Research,838,,,0,,text,2019-04-22 23:59
career-con-2019,https://www.kaggle.com/c/career-con-2019,Recruitment,1443,,,0,,time series,2019-04-11 23:59
