Name,Link,Type,Teams,Timesplit,Timesplit Avail.,Tabular,Status,Notes,Deadline
15-071x-the-analytics-edge-competition-spring-2015,https://www.kaggle.com/c/15-071x-the-analytics-edge-competition-spring-2015,Research,2920,,,0,,приватное,2015-05-04 23:59
datasciencebowl,https://www.kaggle.com/c/datasciencebowl,Featured,1049,,,0,,картинки,2015-03-16 23:59
axa-driver-telematics-analysis,https://www.kaggle.com/c/axa-driver-telematics-analysis,Featured,1524,,,0,,,2015-03-16 23:59
seizure-prediction,https://www.kaggle.com/c/seizure-prediction,Research,504,,,0,,,2014-11-17 23:59
afsis-soil-properties,https://www.kaggle.com/c/afsis-soil-properties,Research,1231,,,0,,мало данных,2014-10-21 23:59
see-click-predict-fix,https://www.kaggle.com/c/see-click-predict-fix,Featured,530,,,0,,< 10k,2013-11-27 23:59
accelerometer-biometric-competition,https://www.kaggle.com/c/accelerometer-biometric-competition,Research,630,,,0,,"акселерометр (time, x,y,z, device_id)",2013-11-22 23:59
stumbleupon,https://www.kaggle.com/c/stumbleupon,Featured,624,,,0,,датасет url'ов,2013-10-31 23:59
amazon-employee-access-challenge,https://www.kaggle.com/c/amazon-employee-access-challenge,Featured,1686,,,0,,был у нас (amazon) 96% majority класса,2013-07-31 23:59
kdd-cup-2013-author-paper-identification-challenge,https://www.kaggle.com/c/kdd-cup-2013-author-paper-identification-challenge,Featured,552,,,0,,Learning to rank task. mostly text,2013-06-26 23:59
hhp,https://www.kaggle.com/c/hhp,Featured,1350,,,0,,нет данных,2013-04-04 07:00
bioresponse,https://www.kaggle.com/c/bioresponse,Featured,698,,,0,,"Classification on molecules, non tabular",2012-06-15 23:59
